Driver Set,50.00 PSI, 
Membrane Thickness,0.007in, 
Driven Temp, 24.54 °C,  76.18 °F, 
Driven Pres, -0.01 PSI, 
Driver Temp, 17.75 °C,  63.95 °F, 
Driver Pres, 56.28 PSI 
BOP, 22.21 PSI 
BUP, -3.92 PSI 
Notes:purple C 052
