Driver Set,50.00 PSI, 
Membrane Thickness,0.007in, 
Driven Temp, 25.08 °C,  77.14 °F, 
Driven Pres, 0.01 PSI, 
Driver Temp, 17.86 °C,  64.15 °F, 
Driver Pres, 56.55 PSI 
BOP, 21.34 PSI 
BUP, -4.47 PSI 
Notes:black C 055
